"id","owner","title","dateupload","ownername","tags","latitude","longitude","place_id","url_m","date_entered"
"42194892944","155297463@N06","Memorial Drive (M-26), Houghton",1529473240,"awiitala","m26 houghton",47.124554,-88.57552,"1F2GBoxTVruqGeWb","https://farm2.staticflickr.com/1765/42194892944_6ab253db5f.jpg",1529473872
"42194892774","155297463@N06","Guardian goose",1529473241,"awiitala","goose geese birds",47.124573,-88.57547,"1F2GBoxTVruqGeWb","https://farm2.staticflickr.com/1805/42194892774_b53a8feb11.jpg",1529473872
"42194892364","155297463@N06","Portage Canal North Entry",1529473242,"awiitala","portagecanal",47.226093,-88.62727,"iaGJqeZQUL9LT3pT_g","https://farm2.staticflickr.com/1790/42194892364_6dfe8bb12f.jpg",1529473872
"42194892064","155297463@N06","Portage Canal North Entry",1529473243,"awiitala","portagecanal",47.226093,-88.62727,"iaGJqeZQUL9LT3pT_g","https://farm2.staticflickr.com/1825/42194892064_d7600fdd80.jpg",1529473872
"42194891844","155297463@N06","Debris under the bridge in the Portage Canal",1529473244,"awiitala","flooding",47.12258,-88.57339,"1F2GBoxTVruqGeWb","https://farm2.staticflickr.com/1805/42194891844_cbe643dc7c.jpg",1529473872
"42194891284","155297463@N06","Houghton waterfront trail flood signs",1529473245,"awiitala","flooding houghton",47.10573,-88.520454,"pv8OcblTVr00yAQK","https://farm1.staticflickr.com/887/42194891284_5aeac75b80.jpg",1529473872
"42194890624","155297463@N06","Houghton waterfront trail flood signs",1529473246,"awiitala","flooding houghton",47.105675,-88.520294,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1788/42194890624_1c4ffe44bd.jpg",1529473872
"42194890154","155297463@N06","US-41 washout location",1529473247,"awiitala","flooding us41",47.105637,-88.5202,"pv8OcblTVr00yAQK","https://farm1.staticflickr.com/887/42194890154_0ccfc79bd5.jpg",1529473872
"42012259355","155297463@N06","Floating debris",1529473248,"awiitala","houghton flooding barrel",47.106693,-88.51837,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1826/42012259355_7ab895a18e.jpg",1529473872
"29040698128","155297463@N06","Michigan State Police helicopter",1529473249,"awiitala","statepolice michigan trooper msp helicopter flooding",47.10705,-88.513626,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1804/29040698128_caeb25fcfc.jpg",1529473872
"42012258695","155297463@N06","Plane landing in Portage Canal",1529473249,"awiitala","n16cj houghton plane portagecanal ripley",47.109432,-88.51246,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1763/42012258695_0495a5f6c3.jpg",1529473872
"29040697888","155297463@N06","Plane landing in Portage Canal",1529473250,"awiitala","n16cj houghton portagecanal plane montripley ripley",47.109447,-88.51247,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1764/29040697888_91e94914ca.jpg",1529473872
"29040697538","155297463@N06","Duck",1529473251,"awiitala","duck birds",47.110012,-88.5133,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1770/29040697538_d967a6fb42.jpg",1529473872
"42012257725","155297463@N06","Turtle",1529473251,"awiitala","turtle",47.110012,-88.51332,"pv8OcblTVr00yAQK","https://farm1.staticflickr.com/891/42012257725_6b63ec4c53.jpg",1529473872
"42194888134","155297463@N06","Geese",1529473251,"awiitala","geese goose birds",47.11001,-88.513306,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1768/42194888134_e110341fb1.jpg",1529473872
"42012257245","155297463@N06","Pilgrim River debris against bridge",1529473252,"awiitala","nara houghton flooding bridge",47.10337,-88.51664,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1767/42012257245_dc9db49e8c.jpg",1529473872
"42194887294","155297463@N06","Damage to Nara boardwalk",1529473252,"awiitala","nara houghton flooding",47.103394,-88.516624,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1807/42194887294_2b42a8da00.jpg",1529473872
"42012256385","155297463@N06","Pilgrim River debris against bridge",1529473253,"awiitala","nara houghton flooding bridge",47.10341,-88.516624,"pv8OcblTVr00yAQK","https://farm2.staticflickr.com/1807/42012256385_5589bcc859.jpg",1529473872
"42194886294","155297463@N06","Sinkhole next to bridge",1529473253,"awiitala","nara flooding bridge houghton",47.103416,-88.51662,"pv8OcblTVr00yAQK","https://farm1.staticflickr.com/892/42194886294_54ffde4aca.jpg",1529473872
